MAZ,HHq1,HHq2,HHq3,HHq4
710191,112.0,34.0,25.0,36.0
710196,11.0,4.0,1.0,8.0
710197,4.0,10.0,16.0,13.0
710199,36.0,23.0,25.0,19.0
710200,35.0,29.0,17.0,27.0
710202,22.0,18.0,20.0,34.0
710205,8.0,8.0,11.0,29.0
710207,47.0,53.0,41.0,54.0
710212,9.0,18.0,20.0,27.0
710213,6.0,16.0,26.0,51.0
710215,42.0,89.0,83.0,85.0
710216,0.0,0.0,0.0,0.0
710217,9.0,16.0,17.0,43.0
710218,55.0,89.0,88.0,187.0
710219,13.0,39.0,53.0,129.0
710221,6.0,11.0,12.0,28.0
710222,107.0,38.0,42.0,78.0
710224,5.0,10.0,10.0,9.0
710225,4.0,10.0,16.0,52.0
710226,16.0,22.0,19.0,27.0
710231,8.0,3.0,16.0,14.0
710233,3.0,17.0,16.0,26.0
710235,7.0,7.0,9.0,12.0
710236,0.0,0.0,0.0,0.0
710243,13.0,19.0,26.0,60.0
710244,0.0,0.0,0.0,0.0
710246,0.0,0.0,0.0,0.0
710249,82.0,62.0,55.0,53.0
710252,2.0,7.0,7.0,14.0
710253,20.0,29.0,31.0,41.0
710254,6.0,3.0,6.0,10.0
710257,0.0,0.0,0.0,0.0
710258,12.0,1.0,1.0,1.0
710267,0.0,4.0,4.0,1.0
710268,13.0,16.0,23.0,41.0
710270,12.0,22.0,16.0,14.0
710271,101.0,64.0,68.0,81.0
710276,3.0,5.0,5.0,5.0
710284,450.0,15.0,28.0,28.0
710290,5.0,0.0,1.0,6.0
710293,0.0,0.0,0.0,0.0
710296,0.0,0.0,0.0,0.0
710297,0.0,0.0,0.0,0.0
710307,27.0,44.0,58.0,90.0
710310,0.0,0.0,2.0,2.0
710312,3.0,3.0,5.0,11.0
710313,32.0,18.0,34.0,48.0
710318,0.0,0.0,0.0,0.0
710321,4.0,7.0,8.0,12.0
710323,3.0,1.0,3.0,0.0
710324,47.0,40.0,69.0,122.0
710328,39.0,69.0,56.0,71.0
710329,9.0,8.0,12.0,19.0
710331,7.0,12.0,15.0,15.0
710333,24.0,45.0,45.0,109.0
710337,21.0,48.0,50.0,63.0
710341,0.0,1.0,3.0,2.0
710342,294.0,100.0,114.0,153.0
710343,4.0,1.0,2.0,5.0
710344,13.0,12.0,12.0,17.0
710347,32.0,80.0,98.0,217.0
710357,13.0,15.0,21.0,18.0
710359,119.0,15.0,24.0,45.0
710361,4.0,11.0,6.0,12.0
710362,1.0,2.0,5.0,10.0
710366,20.0,32.0,20.0,42.0
710367,11.0,6.0,15.0,19.0
710368,11.0,16.0,21.0,32.0
710371,6.0,8.0,12.0,28.0
710372,324.0,81.0,112.0,204.0
710377,19.0,40.0,38.0,73.0
710380,11.0,14.0,9.0,25.0
710382,8.0,16.0,18.0,17.0
710384,2.0,4.0,2.0,6.0
710385,1.0,4.0,5.0,16.0
710390,0.0,4.0,2.0,4.0
710397,19.0,33.0,33.0,48.0
710401,8.0,8.0,8.0,15.0
710403,0.0,0.0,0.0,0.0
710404,52.0,86.0,103.0,153.0
710405,11.0,6.0,11.0,8.0
710406,6.0,16.0,9.0,18.0
710407,0.0,0.0,0.0,0.0
710411,8.0,42.0,26.0,53.0
710412,10.0,14.0,18.0,28.0
710413,24.0,46.0,48.0,46.0
710420,9.0,14.0,30.0,69.0
710421,11.0,17.0,13.0,9.0
710427,5.0,6.0,5.0,12.0
710429,0.0,0.0,0.0,0.0
710430,3.0,3.0,8.0,13.0
710431,8.0,2.0,4.0,7.0
710432,22.0,17.0,14.0,23.0
710433,19.0,15.0,17.0,25.0
710434,0.0,0.0,0.0,0.0
710435,0.0,0.0,0.0,0.0
710436,1.0,3.0,0.0,0.0
710438,38.0,69.0,143.0,304.0
710442,6.0,17.0,15.0,32.0
710443,4.0,9.0,12.0,7.0
710444,0.0,0.0,1.0,0.0
710446,7.0,11.0,23.0,53.0
710451,27.0,23.0,28.0,42.0
710452,19.0,27.0,21.0,24.0
710460,53.0,100.0,102.0,106.0
710461,4.0,11.0,10.0,10.0
710462,2.0,9.0,14.0,17.0
710465,0.0,1.0,2.0,0.0
710466,0.0,0.0,2.0,2.0
710468,4.0,13.0,8.0,14.0
710469,0.0,0.0,0.0,0.0
710470,19.0,16.0,19.0,29.0
710471,5.0,8.0,8.0,10.0
710474,0.0,1.0,1.0,2.0
710481,14.0,23.0,17.0,37.0
710487,0.0,0.0,0.0,0.0
710491,0.0,7.0,5.0,9.0
710496,26.0,45.0,39.0,76.0
710497,0.0,0.0,0.0,0.0
710502,0.0,0.0,0.0,0.0
710513,0.0,0.0,0.0,0.0
710515,23.0,38.0,43.0,80.0
710517,2.0,3.0,3.0,6.0
710519,50.0,56.0,79.0,144.0
710521,9.0,13.0,13.0,17.0
710522,11.0,14.0,19.0,32.0
710523,9.0,17.0,18.0,24.0
710524,70.0,43.0,45.0,67.0
710526,19.0,20.0,37.0,60.0
710527,5.0,9.0,9.0,11.0
710528,1.0,1.0,2.0,3.0
710534,9.0,9.0,9.0,6.0
710535,10.0,5.0,8.0,7.0
710537,15.0,12.0,7.0,20.0
710538,0.0,0.0,1.0,2.0
710542,8.0,15.0,15.0,14.0
710543,0.0,0.0,0.0,0.0
710547,4.0,8.0,11.0,12.0
710552,38.0,83.0,80.0,104.0
710553,16.0,21.0,36.0,58.0
710556,7.0,17.0,18.0,66.0
710557,10.0,20.0,39.0,62.0
710568,0.0,0.0,0.0,0.0
710572,10.0,11.0,16.0,43.0
710573,0.0,4.0,3.0,4.0
710575,11.0,29.0,28.0,25.0
710577,13.0,32.0,22.0,52.0
710579,9.0,6.0,10.0,15.0
710581,10.0,20.0,32.0,28.0
710582,11.0,17.0,27.0,47.0
710583,0.0,0.0,0.0,1.0
710585,5.0,12.0,11.0,7.0
710586,15.0,19.0,27.0,35.0
710596,87.0,11.0,12.0,27.0
710598,29.0,50.0,51.0,117.0
710600,12.0,16.0,40.0,90.0
710606,24.0,35.0,34.0,38.0
710607,18.0,9.0,5.0,9.0
710612,13.0,11.0,16.0,12.0
710613,0.0,0.0,0.0,0.0
710616,0.0,0.0,0.0,0.0
710623,1.0,1.0,2.0,2.0
710626,6.0,13.0,7.0,15.0
710632,39.0,38.0,41.0,85.0
710635,0.0,1.0,0.0,0.0
710636,0.0,1.0,0.0,0.0
710640,0.0,0.0,0.0,0.0
710642,0.0,0.0,0.0,0.0
710644,0.0,1.0,0.0,3.0
710645,0.0,0.0,0.0,0.0
710646,0.0,0.0,2.0,4.0
710650,0.0,5.0,14.0,19.0
710651,5.0,8.0,6.0,12.0
710653,15.0,9.0,18.0,18.0
710656,3.0,12.0,12.0,20.0
710657,1.0,9.0,5.0,10.0
710659,5.0,17.0,22.0,65.0
710662,9.0,32.0,28.0,63.0
710663,45.0,55.0,63.0,113.0
710664,4.0,16.0,19.0,52.0
710666,4.0,8.0,24.0,27.0
710672,63.0,74.0,90.0,129.0
710675,0.0,0.0,0.0,0.0
710676,17.0,29.0,68.0,138.0
710677,25.0,6.0,10.0,24.0
710679,8.0,9.0,13.0,29.0
710681,19.0,11.0,8.0,22.0
710682,34.0,14.0,27.0,27.0
710687,42.0,23.0,47.0,102.0
710688,22.0,32.0,59.0,165.0
710690,0.0,1.0,2.0,5.0
710694,16.0,27.0,33.0,43.0
710697,0.0,0.0,0.0,0.0
710698,0.0,1.0,1.0,2.0
710699,10.0,14.0,16.0,37.0
710703,6.0,5.0,12.0,11.0
710705,5.0,14.0,15.0,18.0
710707,13.0,13.0,16.0,35.0
710712,0.0,0.0,0.0,0.0
710714,14.0,22.0,22.0,32.0
710717,13.0,14.0,6.0,19.0
710718,13.0,7.0,15.0,9.0
710719,6.0,10.0,8.0,15.0
710721,8.0,13.0,22.0,24.0
710722,8.0,11.0,16.0,31.0
710724,6.0,6.0,3.0,6.0
710727,23.0,22.0,21.0,40.0
710732,11.0,10.0,13.0,22.0
710733,0.0,4.0,0.0,7.0
710736,0.0,2.0,3.0,2.0
710744,0.0,0.0,0.0,0.0
710745,42.0,106.0,105.0,168.0
710751,21.0,57.0,59.0,78.0
710752,14.0,17.0,15.0,25.0
710761,0.0,0.0,2.0,0.0
710770,5.0,14.0,10.0,24.0
710771,3.0,3.0,7.0,10.0
710778,0.0,0.0,0.0,0.0
710779,1.0,0.0,1.0,1.0
710780,2.0,2.0,3.0,4.0
710781,0.0,0.0,1.0,0.0
710782,0.0,1.0,0.0,2.0
710785,4.0,3.0,9.0,30.0
710786,1.0,1.0,3.0,1.0
710787,13.0,13.0,19.0,25.0
710789,18.0,27.0,55.0,85.0
710790,8.0,14.0,13.0,25.0
710791,8.0,12.0,6.0,12.0
710793,31.0,48.0,30.0,29.0
710804,26.0,45.0,53.0,69.0
710806,10.0,32.0,43.0,56.0
710811,38.0,73.0,80.0,150.0
710813,4.0,6.0,6.0,9.0
710819,0.0,1.0,2.0,0.0
710820,9.0,19.0,22.0,43.0
710822,46.0,41.0,41.0,43.0
710823,11.0,13.0,5.0,17.0
710824,18.0,5.0,3.0,18.0
710825,0.0,0.0,0.0,0.0
710828,23.0,32.0,34.0,39.0
710829,41.0,61.0,39.0,50.0
710830,2.0,9.0,9.0,24.0
710832,5.0,23.0,22.0,40.0
710833,10.0,9.0,16.0,15.0
710838,74.0,25.0,45.0,72.0
710839,27.0,32.0,39.0,78.0
710840,10.0,13.0,19.0,30.0
710842,4.0,3.0,6.0,13.0
710844,9.0,23.0,10.0,24.0
710846,3.0,5.0,5.0,13.0
710850,9.0,14.0,24.0,49.0
710851,1.0,0.0,0.0,0.0
710855,2.0,2.0,1.0,3.0
710858,10.0,8.0,7.0,17.0
710865,15.0,30.0,31.0,24.0
710867,7.0,11.0,11.0,22.0
710870,2.0,2.0,1.0,1.0
710872,10.0,11.0,13.0,11.0
710873,16.0,20.0,26.0,25.0
710874,34.0,33.0,40.0,64.0
710875,18.0,37.0,28.0,49.0
710877,5.0,24.0,35.0,43.0
710886,27.0,52.0,51.0,94.0
710887,52.0,79.0,104.0,146.0
710889,0.0,1.0,1.0,0.0
710891,17.0,24.0,28.0,45.0
710892,2.0,2.0,0.0,3.0
710893,2.0,0.0,2.0,0.0
710898,57.0,40.0,53.0,51.0
710899,6.0,2.0,7.0,20.0
710900,0.0,0.0,0.0,2.0
710904,10.0,46.0,42.0,64.0
710905,21.0,19.0,11.0,23.0
710906,564.0,165.0,202.0,300.0
710908,15.0,15.0,19.0,20.0
710909,6.0,17.0,13.0,23.0
710911,1.0,0.0,0.0,1.0
710913,9.0,20.0,19.0,17.0
710917,0.0,0.0,1.0,0.0
710918,2.0,4.0,8.0,12.0
710919,5.0,4.0,3.0,5.0
710920,7.0,7.0,8.0,11.0
710921,18.0,19.0,13.0,20.0
710922,9.0,18.0,8.0,8.0
710924,1.0,1.0,4.0,1.0
710930,64.0,8.0,5.0,17.0
710931,2.0,1.0,3.0,6.0
710936,1.0,2.0,5.0,3.0
710937,5.0,10.0,14.0,15.0
710940,24.0,23.0,51.0,42.0
710944,0.0,0.0,0.0,0.0
710948,0.0,0.0,0.0,0.0
710951,18.0,19.0,32.0,46.0
710953,2.0,2.0,2.0,3.0
710954,1.0,2.0,0.0,1.0
710956,40.0,23.0,31.0,40.0
710958,15.0,48.0,41.0,54.0
710963,0.0,0.0,0.0,0.0
710967,4.0,7.0,16.0,21.0
710972,0.0,0.0,0.0,0.0
710976,0.0,0.0,0.0,0.0
710979,4.0,3.0,4.0,14.0
710986,6.0,11.0,10.0,8.0
710991,5.0,15.0,14.0,11.0
710993,2.0,11.0,8.0,10.0
710995,12.0,20.0,14.0,27.0
710997,6.0,14.0,8.0,11.0
710998,11.0,21.0,16.0,28.0
711001,8.0,15.0,24.0,26.0
711003,34.0,56.0,60.0,91.0
711005,13.0,30.0,23.0,41.0
711015,32.0,51.0,70.0,87.0
711018,106.0,202.0,199.0,337.0
711023,4.0,14.0,19.0,23.0
711028,6.0,21.0,23.0,32.0
711031,14.0,26.0,35.0,42.0
711033,0.0,0.0,0.0,0.0
711034,0.0,2.0,2.0,9.0
711036,0.0,0.0,0.0,0.0
711043,0.0,0.0,0.0,0.0
711044,0.0,2.0,2.0,3.0
711051,15.0,45.0,58.0,129.0
711057,0.0,0.0,0.0,2.0
711058,275.0,180.0,293.0,634.0
711059,17.0,15.0,25.0,37.0
711063,2.0,2.0,4.0,3.0
711065,1.0,0.0,1.0,3.0
711082,0.0,1.0,0.0,1.0
711086,11.0,18.0,29.0,46.0
711088,33.0,42.0,63.0,72.0
711092,0.0,0.0,0.0,0.0
711093,9.0,19.0,38.0,85.0
711100,2.0,8.0,5.0,4.0
711101,0.0,0.0,0.0,0.0
711102,8.0,20.0,23.0,32.0
711107,57.0,101.0,104.0,133.0
711111,20.0,50.0,66.0,126.0
711112,17.0,23.0,21.0,29.0
711113,25.0,25.0,31.0,52.0
711121,0.0,0.0,0.0,0.0
711122,0.0,0.0,0.0,0.0
711125,0.0,1.0,2.0,2.0
711127,150.0,35.0,29.0,50.0
711128,0.0,0.0,0.0,0.0
711129,1.0,0.0,1.0,2.0
711130,9.0,13.0,25.0,29.0
711131,1.0,9.0,11.0,27.0
711133,0.0,0.0,0.0,4.0
711136,2.0,4.0,3.0,3.0
711138,4.0,1.0,6.0,9.0
711140,5.0,8.0,13.0,16.0
711145,22.0,45.0,63.0,85.0
711147,11.0,14.0,7.0,11.0
711152,81.0,9.0,9.0,16.0
711159,0.0,1.0,1.0,4.0
711164,2.0,2.0,2.0,2.0
711169,0.0,2.0,0.0,5.0
711170,14.0,24.0,21.0,44.0
711173,11.0,19.0,22.0,41.0
711174,15.0,26.0,26.0,57.0
711179,7.0,9.0,10.0,27.0
711180,9.0,14.0,22.0,36.0
711182,3.0,13.0,8.0,14.0
711183,7.0,5.0,6.0,6.0
711184,18.0,19.0,9.0,32.0
711185,18.0,12.0,21.0,18.0
711186,6.0,23.0,10.0,12.0
711189,4.0,0.0,0.0,0.0
711190,107.0,10.0,3.0,7.0
711191,1.0,4.0,5.0,5.0
711193,7.0,11.0,8.0,12.0
711195,23.0,27.0,40.0,71.0
711205,6.0,5.0,11.0,16.0
711208,54.0,71.0,88.0,123.0
711209,18.0,19.0,18.0,35.0
711211,49.0,47.0,76.0,116.0
711213,1.0,13.0,12.0,22.0
711215,0.0,1.0,4.0,10.0
711217,3.0,7.0,7.0,32.0
711218,1.0,4.0,12.0,20.0
711220,218.0,66.0,54.0,94.0
711221,7.0,10.0,12.0,20.0
711222,10.0,27.0,27.0,87.0
711226,3.0,9.0,9.0,25.0
711228,5.0,6.0,15.0,33.0
711229,8.0,9.0,13.0,26.0
711240,12.0,16.0,21.0,39.0
711241,1.0,3.0,1.0,3.0
711242,8.0,17.0,14.0,19.0
711249,2.0,1.0,4.0,6.0
711253,34.0,48.0,54.0,79.0
711258,15.0,25.0,38.0,51.0
711260,7.0,12.0,12.0,13.0
711261,6.0,23.0,24.0,63.0
711265,0.0,0.0,0.0,0.0
711266,14.0,18.0,23.0,38.0
711269,11.0,11.0,13.0,19.0
711270,11.0,16.0,15.0,25.0
711274,0.0,0.0,0.0,0.0
711277,22.0,36.0,68.0,79.0
711279,11.0,12.0,19.0,26.0
711282,67.0,35.0,34.0,82.0
711289,6.0,8.0,13.0,14.0
711290,0.0,0.0,0.0,0.0
711291,0.0,1.0,0.0,0.0
711292,359.0,59.0,84.0,199.0
711298,0.0,0.0,0.0,0.0
711300,29.0,16.0,27.0,33.0
711304,5.0,10.0,8.0,23.0
711306,4.0,4.0,3.0,2.0
711311,301.0,52.0,73.0,133.0
711314,18.0,32.0,35.0,65.0
711315,9.0,26.0,42.0,67.0
711319,3.0,1.0,3.0,11.0
711323,15.0,10.0,13.0,21.0
711324,30.0,49.0,54.0,103.0
711326,9.0,21.0,14.0,33.0
711328,33.0,48.0,59.0,120.0
711335,3.0,5.0,6.0,11.0
711339,4.0,8.0,11.0,11.0
711341,4.0,7.0,6.0,13.0
711342,14.0,27.0,34.0,50.0
711345,1.0,2.0,6.0,6.0
711351,0.0,0.0,0.0,0.0
711352,10.0,16.0,24.0,45.0
711354,4.0,3.0,6.0,19.0
711355,3.0,4.0,8.0,10.0
711356,0.0,0.0,0.0,0.0
711359,6.0,0.0,4.0,12.0
711362,6.0,5.0,5.0,13.0
711363,3.0,5.0,4.0,5.0
711364,0.0,0.0,1.0,1.0
711373,3.0,4.0,9.0,18.0
711374,12.0,25.0,30.0,62.0
711379,0.0,0.0,0.0,0.0
711380,11.0,18.0,13.0,20.0
711382,3.0,4.0,9.0,16.0
711384,15.0,21.0,17.0,20.0
711385,11.0,3.0,9.0,11.0
711389,5.0,7.0,9.0,21.0
711402,15.0,28.0,22.0,44.0
711405,0.0,0.0,0.0,0.0
711406,12.0,17.0,18.0,24.0
711407,31.0,28.0,50.0,69.0
711410,5.0,25.0,13.0,30.0
711416,26.0,44.0,81.0,130.0
711421,21.0,33.0,26.0,34.0
711423,5.0,9.0,11.0,16.0
711428,21.0,30.0,25.0,27.0
711429,15.0,24.0,35.0,29.0
711432,0.0,0.0,0.0,0.0
711433,10.0,18.0,20.0,29.0
711434,5.0,12.0,11.0,20.0
711436,27.0,56.0,44.0,74.0
711437,0.0,0.0,0.0,0.0
711438,3.0,14.0,22.0,25.0
711441,3.0,5.0,4.0,9.0
711442,135.0,44.0,59.0,119.0
711445,0.0,0.0,3.0,4.0
711446,28.0,28.0,36.0,49.0
711448,0.0,2.0,0.0,5.0
711449,0.0,0.0,1.0,2.0
711450,0.0,0.0,0.0,0.0
711454,7.0,10.0,9.0,9.0
711455,13.0,19.0,15.0,32.0
711456,6.0,11.0,13.0,14.0
711457,8.0,3.0,9.0,9.0
711458,6.0,5.0,2.0,2.0
711461,37.0,28.0,22.0,21.0
711462,0.0,0.0,0.0,0.0
711463,0.0,0.0,0.0,0.0
711466,9.0,11.0,7.0,13.0
711468,5.0,10.0,9.0,19.0
711469,9.0,18.0,19.0,34.0
711471,12.0,4.0,2.0,4.0
711473,19.0,6.0,13.0,15.0
711474,0.0,0.0,0.0,0.0
711484,0.0,0.0,1.0,0.0
711485,20.0,27.0,44.0,55.0
711486,71.0,64.0,60.0,53.0
711491,3.0,4.0,11.0,13.0
711498,2.0,2.0,3.0,7.0
711499,2.0,4.0,4.0,2.0
711501,0.0,1.0,0.0,6.0
711513,23.0,44.0,37.0,81.0
711515,0.0,0.0,0.0,0.0
711519,9.0,10.0,17.0,10.0
711522,34.0,60.0,37.0,94.0
711524,4.0,0.0,4.0,6.0
711531,0.0,0.0,0.0,0.0
711533,3.0,2.0,2.0,0.0
711538,66.0,96.0,116.0,139.0
711543,6.0,7.0,7.0,9.0
711547,21.0,34.0,22.0,44.0
711551,5.0,10.0,9.0,12.0
711553,71.0,37.0,41.0,32.0
711554,14.0,19.0,34.0,35.0
711556,0.0,0.0,0.0,0.0
711557,16.0,15.0,10.0,12.0
711567,4.0,7.0,7.0,19.0
711570,0.0,0.0,0.0,0.0
711571,22.0,28.0,35.0,64.0
711576,3.0,8.0,11.0,16.0
711581,6.0,5.0,11.0,13.0
711582,6.0,11.0,17.0,26.0
711583,14.0,37.0,50.0,80.0
711586,0.0,1.0,0.0,0.0
711587,4.0,10.0,8.0,16.0
711588,13.0,21.0,28.0,34.0
711591,7.0,8.0,15.0,15.0
711592,29.0,34.0,38.0,63.0
711593,11.0,21.0,17.0,19.0
711595,15.0,34.0,36.0,37.0
711597,2.0,7.0,5.0,13.0
711598,5.0,5.0,4.0,1.0
711599,11.0,14.0,14.0,19.0
711600,6.0,11.0,8.0,16.0
711614,1.0,3.0,7.0,10.0
711619,8.0,7.0,8.0,10.0
711636,25.0,47.0,42.0,48.0
711637,5.0,6.0,7.0,2.0
711638,3.0,7.0,2.0,3.0
711639,11.0,11.0,11.0,10.0
711645,17.0,18.0,21.0,37.0
711650,7.0,15.0,14.0,29.0
711651,14.0,17.0,13.0,12.0
711655,5.0,12.0,11.0,13.0
711657,12.0,13.0,7.0,23.0
711659,21.0,9.0,23.0,22.0
711660,12.0,2.0,1.0,5.0
711663,16.0,33.0,26.0,30.0
711665,16.0,24.0,27.0,28.0
711666,7.0,14.0,10.0,16.0
711667,4.0,16.0,13.0,15.0
711669,25.0,35.0,31.0,56.0
711670,0.0,0.0,0.0,0.0
711674,11.0,6.0,15.0,20.0
711676,0.0,0.0,0.0,0.0
711682,17.0,17.0,21.0,23.0
711686,0.0,0.0,0.0,3.0
711689,0.0,0.0,0.0,0.0
711690,11.0,16.0,16.0,25.0
711694,5.0,7.0,9.0,14.0
711695,15.0,37.0,27.0,41.0
711705,7.0,5.0,13.0,17.0
711707,0.0,0.0,0.0,0.0
711708,298.0,85.0,102.0,179.0
711709,10.0,15.0,19.0,25.0
711711,7.0,9.0,6.0,17.0
711712,2.0,7.0,6.0,10.0
711714,18.0,14.0,20.0,59.0
711715,1.0,6.0,15.0,12.0
711721,0.0,0.0,3.0,5.0
711724,3.0,11.0,15.0,27.0
711735,0.0,0.0,0.0,0.0
711737,2.0,5.0,9.0,10.0
711746,0.0,0.0,0.0,0.0
711749,3.0,9.0,15.0,19.0
711750,0.0,4.0,0.0,5.0
711751,0.0,0.0,0.0,0.0
711754,5.0,2.0,1.0,5.0
711759,0.0,0.0,0.0,0.0
711761,3.0,6.0,13.0,21.0
711762,13.0,24.0,25.0,30.0
711766,6.0,11.0,13.0,20.0
711767,7.0,15.0,19.0,28.0
711772,1.0,2.0,4.0,1.0
711773,8.0,4.0,12.0,12.0
711778,24.0,31.0,58.0,80.0
711791,14.0,27.0,26.0,29.0
711792,14.0,10.0,19.0,25.0
711793,5.0,9.0,8.0,14.0
711794,86.0,7.0,11.0,22.0
711797,6.0,7.0,7.0,14.0
711804,2.0,9.0,5.0,16.0
711811,0.0,1.0,1.0,0.0
711827,22.0,43.0,61.0,118.0
711830,0.0,0.0,0.0,0.0
711833,113.0,28.0,26.0,44.0
711835,1.0,1.0,0.0,1.0
711839,0.0,2.0,3.0,3.0
711842,6.0,8.0,10.0,25.0
711844,1.0,5.0,6.0,9.0
711864,0.0,0.0,1.0,0.0
711873,0.0,0.0,0.0,0.0
711881,0.0,0.0,0.0,1.0
711886,1.0,2.0,3.0,8.0
711894,0.0,0.0,0.0,0.0
711897,28.0,45.0,47.0,45.0
711900,23.0,9.0,11.0,25.0
711907,8.0,29.0,32.0,62.0
711908,14.0,43.0,62.0,79.0
711909,28.0,46.0,33.0,50.0
711915,53.0,60.0,58.0,93.0
711925,7.0,7.0,11.0,9.0
711928,15.0,39.0,55.0,101.0
711929,11.0,17.0,20.0,32.0
711933,50.0,45.0,58.0,95.0
711939,5.0,15.0,17.0,23.0
711942,3.0,7.0,6.0,10.0
711943,14.0,6.0,7.0,7.0
711946,17.0,10.0,13.0,15.0
711947,15.0,3.0,2.0,5.0
711948,3.0,8.0,8.0,27.0
711951,49.0,23.0,26.0,37.0
711952,9.0,21.0,22.0,46.0
711954,18.0,24.0,25.0,33.0
711957,6.0,14.0,15.0,33.0
711960,0.0,0.0,0.0,0.0
711962,0.0,0.0,0.0,0.0
711964,4.0,0.0,6.0,18.0
711976,0.0,0.0,0.0,0.0
711985,4.0,4.0,6.0,6.0
711986,79.0,44.0,58.0,96.0
711988,0.0,0.0,0.0,0.0
711992,8.0,12.0,4.0,7.0
711996,7.0,10.0,11.0,18.0
712002,19.0,29.0,36.0,51.0
712011,2.0,6.0,12.0,11.0
712013,2.0,11.0,6.0,19.0
712014,61.0,85.0,93.0,116.0
712015,24.0,43.0,43.0,89.0
712019,16.0,12.0,9.0,12.0
712020,20.0,14.0,10.0,12.0
712021,82.0,30.0,33.0,27.0
712022,14.0,13.0,14.0,12.0
712029,605.0,100.0,104.0,130.0
712031,29.0,28.0,59.0,59.0
712038,226.0,63.0,79.0,128.0
712041,2.0,5.0,6.0,14.0
712047,6.0,8.0,12.0,28.0
712056,5.0,9.0,13.0,20.0
712061,13.0,36.0,13.0,34.0
712066,3.0,3.0,4.0,8.0
712069,19.0,32.0,28.0,66.0
712070,7.0,7.0,13.0,16.0
712074,2.0,0.0,1.0,1.0
712075,9.0,19.0,18.0,24.0
712076,0.0,0.0,0.0,0.0
712079,21.0,28.0,21.0,50.0
712080,0.0,0.0,0.0,0.0
712083,2.0,3.0,2.0,3.0
712085,0.0,0.0,0.0,0.0
712088,4.0,8.0,9.0,23.0
712092,13.0,42.0,44.0,65.0
712093,0.0,0.0,0.0,0.0
712096,2.0,8.0,5.0,9.0
712097,6.0,11.0,14.0,9.0
712098,20.0,33.0,29.0,51.0
712107,7.0,10.0,10.0,15.0
712109,28.0,67.0,111.0,177.0
712114,5.0,11.0,11.0,10.0
712115,2.0,3.0,4.0,6.0
712116,21.0,32.0,36.0,53.0
712117,27.0,55.0,50.0,65.0
712120,27.0,37.0,42.0,92.0
712123,12.0,5.0,7.0,3.0
712124,1.0,9.0,10.0,14.0
712125,54.0,73.0,59.0,82.0
712126,31.0,46.0,52.0,73.0
712133,0.0,0.0,0.0,0.0
712136,7.0,15.0,13.0,21.0
712142,4.0,6.0,6.0,9.0
712145,1.0,12.0,15.0,15.0
712151,0.0,0.0,0.0,2.0
